k,layout,arm,seed,test,unit,property,pair,stage,rawP,adjP,bhFamily,bhM,direction,gatePassed,forensic,contributed,stat,nullRef,B
0,column-grouped,free,0,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.0260000,0.0420000,Stage1,3,similar,1,1,1,0.00103777,0.0613733,999
0,column-grouped,free,0,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.146000,0.146000,Stage1,3,similar,1,1,1,0.0126759,0.103033,999
0,column-grouped,free,0,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0280000,0.0420000,Stage1,3,similar,1,1,1,0.0333333,0.0791667,999
0,column-grouped,free,0,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000164801,0.0270667,999
0,column-grouped,free,0,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000110827,0.0402587,999
0,column-grouped,free,0,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000228394,0.199493,999
0,column-grouped,free,0,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0320000,0.0320000,Stage3,1,similar,1,1,1,0.00138480,0.0425021,999
0,column-grouped,free,0,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,1,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.360000,0.494000,Stage1,3,similar,1,1,1,0.0273367,0.0816598,999
0,column-grouped,free,1,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.494000,0.494000,Stage1,3,similar,1,1,1,0.0380248,0.0789915,999
0,column-grouped,free,1,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.146000,0.438000,Stage1,3,similar,0,1,0,0.0430556,0.0763889,999
0,column-grouped,free,1,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000109093,0.0297299,999
0,column-grouped,free,1,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,8.03201e-7,0.0361731,999
0,column-grouped,free,1,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000341950,0.143173,999
0,column-grouped,free,1,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0200000,0.0200000,Stage3,1,similar,1,1,1,0.000724060,0.0573868,999
0,column-grouped,free,1,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,2,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.942000,0.942000,Stage1,3,different,0,0,0,0.0679422,0.0636401,999
0,column-grouped,free,2,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0540000,0.0990000,Stage1,3,similar,1,1,1,0.00404968,0.0833664,999
0,column-grouped,free,2,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0660000,0.0990000,Stage1,3,similar,1,1,1,0.0375000,0.0819444,999
0,column-grouped,free,2,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000614771,0.0280290,999
0,column-grouped,free,2,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,1.67043e-7,0.0387161,999
0,column-grouped,free,2,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000261332,0.165530,999
0,column-grouped,free,2,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0880000,0.0880000,Stage3,1,similar,1,1,1,0.00498606,0.0623802,999
0,column-grouped,free,2,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,3,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.158000,0.158000,Stage1,3,similar,1,1,1,0.00814774,0.0537600,999
0,column-grouped,free,3,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0640000,0.0960000,Stage1,3,similar,1,1,1,0.00571937,0.0938869,999
0,column-grouped,free,3,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0260000,0.0780000,Stage1,3,similar,1,1,1,0.0333333,0.0805556,999
0,column-grouped,free,3,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000646671,0.0283393,999
0,column-grouped,free,3,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000236441,0.0383653,999
0,column-grouped,free,3,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000460628,0.165107,999
0,column-grouped,free,3,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.00400000,0.00400000,Stage3,1,similar,1,1,1,0.0000450397,0.0417897,999
0,column-grouped,free,3,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,4,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.296000,0.296000,Stage1,3,similar,1,1,1,0.0325065,0.120346,999
0,column-grouped,free,4,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.164000,0.246000,Stage1,3,similar,1,1,1,0.0104469,0.0659052,999
0,column-grouped,free,4,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0240000,0.0720000,Stage1,3,similar,1,1,1,0.0347222,0.0763889,999
0,column-grouped,free,4,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,3.90379e-7,0.0253617,999
0,column-grouped,free,4,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000884692,0.0414349,999
0,column-grouped,free,4,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000141951,0.187222,999
0,column-grouped,free,4,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0120000,0.0120000,Stage3,1,similar,1,1,1,0.000472518,0.0392141,999
0,column-grouped,free,4,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,5,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.132000,0.156000,Stage1,3,similar,1,1,1,0.00945533,0.0742990,999
0,column-grouped,free,5,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.154000,0.156000,Stage1,3,similar,1,1,1,0.0155903,0.108679,999
0,column-grouped,free,5,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.156000,0.156000,Stage1,3,similar,0,1,0,0.0444444,0.0791667,999
0,column-grouped,free,5,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000212694,0.0293431,999
0,column-grouped,free,5,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000944530,0.0383720,999
0,column-grouped,free,5,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000275916,0.286736,999
0,column-grouped,free,5,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.0420000,0.0420000,Stage3,1,similar,1,1,1,0.00134442,0.0471630,999
0,column-grouped,free,5,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,6,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.576000,0.576000,Stage1,3,similar,0,1,0,0.0306814,0.0576168,999
0,column-grouped,free,6,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.232000,0.348000,Stage1,3,similar,1,1,1,0.0189202,0.0919721,999
0,column-grouped,free,6,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.120000,0.348000,Stage1,3,similar,0,1,0,0.0416667,0.0777778,999
0,column-grouped,free,6,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000289391,0.0251297,999
0,column-grouped,free,6,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000310809,0.0418033,999
0,column-grouped,free,6,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000373848,0.134009,999
0,column-grouped,free,6,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.110000,0.110000,Stage3,1,similar,1,1,1,0.00342073,0.0441660,999
0,column-grouped,free,6,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
0,column-grouped,free,7,CCC,P1,Trimmed span (5–95%),CondA vs CondB,1,0.580000,0.580000,Stage1,3,similar,0,1,0,0.0524482,0.0826276,999
0,column-grouped,free,7,CCC,P2,Dispersion (MAD),CondA vs CondB,1,0.0440000,0.0810000,Stage1,3,similar,1,1,1,0.00375260,0.0904184,999
0,column-grouped,free,7,CCC,P3,CDF shape (KS),CondA vs CondB,1,0.0540000,0.0810000,Stage1,3,similar,1,1,1,0.0375000,0.0791667,999
0,column-grouped,free,7,CCC,P4,Residual SD,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000420917,0.0293269,999
0,column-grouped,free,7,CCC,P5,Residual lag-1 AC,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.00000258586,0.0398697,999
0,column-grouped,free,7,CCC,P6,Residual kurtosis,CondA vs CondB,2,0.00200000,0.00200000,Stage2,3,similar,1,1,1,0.0000251551,0.173040,999
0,column-grouped,free,7,CCC,P9,Mean-variance slope,CondA vs CondB,3,0.112000,0.112000,Stage3,1,similar,1,1,1,0.00637761,0.0629456,999
0,column-grouped,free,7,RSC,overlap,max pairwise top-K overlap,CondA vs CondB,,0.00100000,0.00100000,,,,1,1,1,12,1.2,999
